frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
1982,8896248067000,1778513009172438252,0,24955,2
1983,8896281384000,1778513009205011412,0,12978,1
1984,8896314705000,1778513009235951021,0,6464,1
1985,8896348022000,1778513009269604721,0,8794,1
1986,8896381341000,1778513009305053358,0,8667,1
1987,8896414660000,1778513009336249186,0,8520,1
1988,8896447978000,1778513009370154808,0,12321,1
1989,8896481296000,1778513009406335546,0,12030,1
1990,8896514614000,1778513009437163120,0,11884,1
1991,8896547934000,1778513009471341719,0,11951,1
1992,8896581252000,1778513009503476534,0,11947,1
1993,8896614570000,1778513009537337175,0,11702,1
1994,8896647889000,1778513009571124892,0,17284,1
1995,8896681208000,1778513009604280932,0,16829,1
1996,8896714526000,1778513009637615451,0,16942,1
1997,8896747845000,1778513009671023544,0,16588,1
1998,8896781163000,1778513009706343664,0,16505,1
1999,8896814482000,1778513009737800136,0,16466,1
2000,8896847800000,1778513009770933158,0,16581,1
2001,8896881118000,1778513009805506752,0,16256,1
2002,8896914436000,1778513009837510069,0,16040,1
2003,8896947756000,1778513009870636572,0,16195,1
2004,8896981073000,1778513009903954425,0,16169,1
2005,8897014392000,1778513009937579515,0,16191,1
2006,8897047710000,1778513009970553613,0,16153,1
2007,8897081028000,1778513010004766935,0,16224,1
2008,8897114355000,1778513010035006961,0,16015,1
2009,8897147665000,1778513010068537478,0,16178,1
2010,8897180984000,1778513010107530008,0,16102,1
2011,8897214304000,1778513010137608074,0,15959,1
2012,8897247622000,1778513010170806929,0,15971,1
2013,8897280940000,1778513010202881726,0,10703,1
2014,8897314258000,1778513010237321562,0,16129,1
2015,8897347577000,1778513010270641341,0,16011,1
2016,8897380895000,1778513010306187347,0,16118,1
2017,8897414214000,1778513010340237523,0,15981,1
2018,8897447537000,1778513010373470618,0,16240,1
2019,8897480851000,1778513010405963019,0,16265,1
2020,8897514168000,1778513010437205124,0,16280,1
2021,8897547488000,1778513010470511477,0,16447,1
2022,8897580806000,1778513010503722702,0,16387,1
2023,8897614124000,1778513010539207283,0,16688,1
2024,8897647442000,1778513010570592090,0,16838,1
2025,8897680761000,1778513010608039198,0,16834,1
2026,8897714080000,1778513010642259482,0,16561,1
2027,8897747399000,1778513010673635196,0,17061,1
2028,8897780717000,1778513010704990781,0,17045,1
2029,8897814035000,1778513010737339222,0,17204,1
2030,8897847353000,1778513010770566650,0,17178,1
2031,8897880672000,1778513010803900059,0,17228,1
2032,8897913991000,1778513010837359576,0,17329,1
2033,8897947309000,1778513010868996546,0,7981,1
2034,8897980626000,1778513010904892806,0,17581,1
2035,8898013946000,1778513010939878190,0,17879,1
2036,8898047264000,1778513010970962353,0,17741,1
2037,8898080583000,1778513011003904489,0,17801,1
2038,8898113901000,1778513011038374770,0,17898,1
