frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
8465,9112251720000,1778513225173123844,0,6763,1
8466,9112285038000,1778513225206370292,0,6765,1
8467,9112318357000,1778513225240292527,0,9189,1
8468,9112351675000,1778513225273409180,0,9170,1
8469,9112384993000,1778513225306825996,0,8951,1
8470,9112418312000,1778513225340777341,0,13091,1
8471,9112451631000,1778513225374080862,0,12489,1
8472,9112484948000,1778513225407506086,0,12658,1
8473,9112518267000,1778513225440785848,0,12469,1
8474,9112551587000,1778513225473905316,0,12348,1
8475,9112584904000,1778513225509033163,0,12405,1
8476,9112618223000,1778513225540806836,0,12619,1
8477,9112651542000,1778513225575160749,0,18606,1
8478,9112684860000,1778513225610035026,0,12418,1
8479,9112718180000,1778513225642850998,0,18749,1
8480,9112751497000,1778513225675101090,0,18408,1
8481,9112784815000,1778513225708251114,0,18420,1
8482,9112818134000,1778513225741701707,0,18428,1
8483,9112851452000,1778513225773926336,0,12438,1
8484,9112884770000,1778513225808441469,0,18333,1
8485,9112918089000,1778513225841631566,0,18431,1
8486,9112951407000,1778513225873833381,0,12634,1
8487,9112984725000,1778513225910809331,0,18606,1
8488,9113018043000,1778513225942122436,0,18611,1
8489,9113051364000,1778513225974067718,0,12740,1
8490,9113084681000,1778513226010122866,0,18528,1
8491,9113118000000,1778513226040300858,0,18506,1
8492,9113151318000,1778513226071628259,0,12566,1
8493,9113184637000,1778513226105635104,0,18659,1
8494,9113217955000,1778513226141756640,0,18663,1
8495,9113251274000,1778513226173602867,0,12551,1
8496,9113284592000,1778513226209256077,0,18473,1
8497,9113317911000,1778513226241422448,0,18468,1
8498,9113351230000,1778513226273641559,0,12581,1
8499,9113384547000,1778513226307856030,0,18439,1
8500,9113417867000,1778513226341284845,0,18502,1
8501,9113451185000,1778513226373903765,0,12758,1
8502,9113484503000,1778513226407954294,0,18978,1
8503,9113517822000,1778513226440171257,0,12802,1
8504,9113551141000,1778513226474486301,0,18867,1
8505,9113584459000,1778513226507906191,0,18793,1
8506,9113617777000,1778513226543147776,0,19216,1
8507,9113651096000,1778513226576164968,0,13299,1
8508,9113684414000,1778513226610697027,0,18999,1
8509,9113717733000,1778513226644073622,0,12827,1
8510,9113751052000,1778513226675226692,0,19071,1
8511,9113784369000,1778513226706981051,0,13112,1
8512,9113817688000,1778513226743055625,0,19206,1
8513,9113851008000,1778513226773870570,0,13472,1
8514,9113884325000,1778513226807805194,0,19085,1
8515,9113917644000,1778513226841128955,0,19186,1
8516,9113950962000,1778513226873479490,0,13044,1
8517,9113984280000,1778513226908184084,0,19170,1
8518,9114017599000,1778513226940111143,0,13165,1
8519,9114050917000,1778513226974504649,0,19533,1
8520,9114084236000,1778513227007068588,0,13234,1
8521,9114117555000,1778513227053550197,1,95697,5
8522,9114150872000,1778513227075507585,0,26881,2
8523,9114184191000,1778513227107750140,0,14530,1
8524,9114217510000,1778513227141596561,0,7237,1
8525,9114250829000,1778513227172286046,0,7395,1
8526,9114284147000,1778513227205373237,0,7492,1
8527,9114317465000,1778513227241184796,0,10033,1
8528,9114350784000,1778513227272873081,0,9953,1
8529,9114384103000,1778513227305898754,0,9716,1
8530,9114417420000,1778513227339242016,0,9873,1
8531,9114450738000,1778513227373336822,0,14220,1
8532,9114484057000,1778513227406721379,0,14116,1
8533,9114517376000,1778513227441174680,0,13911,1
8534,9114550695000,1778513227473308736,0,13758,1
8535,9114584013000,1778513227506423168,0,13619,1
8536,9114617331000,1778513227539887520,0,13731,1
8537,9114650650000,1778513227573190189,0,13597,1
