frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
10386,9176256513000,1778513289177372753,0,6153,1
10387,9176289831000,1778513289211406043,0,5935,1
10388,9176323149000,1778513289248648324,0,8464,1
10389,9176356468000,1778513289280366444,0,8464,1
10390,9176389786000,1778513289314964226,0,8295,1
10391,9176423106000,1778513289347151135,0,8346,1
10392,9176456433000,1778513289378765385,0,12243,1
10393,9176489742000,1778513289411867559,0,11953,1
10394,9176523060000,1778513289445657630,0,11931,1
10395,9176556379000,1778513289476211841,0,11914,1
10396,9176589697000,1778513289510424406,0,11830,1
10397,9176623016000,1778513289547933239,0,12031,1
10398,9176656334000,1778513289580211091,0,17756,1
10399,9176689653000,1778513289612693977,0,11986,1
10400,9176722971000,1778513289646359717,0,17623,1
10401,9176756290000,1778513289679617815,0,17536,1
10402,9176789608000,1778513289715693168,0,17706,1
10403,9176822928000,1778513289746455968,0,17556,1
10404,9176856245000,1778513289779792768,0,17672,1
10405,9176889564000,1778513289815127947,0,17926,1
10406,9176922882000,1778513289846312259,0,17685,1
10407,9176956201000,1778513289878452946,0,11999,1
10408,9176989519000,1778513289912928045,0,17547,1
10409,9177022837000,1778513289945960979,0,17529,1
10410,9177056156000,1778513289979256835,0,17803,1
10411,9177089475000,1778513290014435812,0,17758,1
10412,9177122793000,1778513290046378484,0,17607,1
10413,9177156112000,1778513290078334082,0,11768,1
10414,9177189430000,1778513290112695534,0,17678,1
10415,9177222748000,1778513290145942372,0,17487,1
10416,9177256067000,1778513290179290228,0,17431,1
10417,9177289385000,1778513290212822988,0,17537,1
10418,9177322704000,1778513290244823863,0,11769,1
10419,9177356023000,1778513290279324942,0,17493,1
10420,9177389341000,1778513290312891795,0,17857,1
10421,9177422659000,1778513290346125355,0,17929,1
10422,9177455978000,1778513290379291065,0,17929,1
10423,9177489297000,1778513290411482974,0,11797,1
10424,9177522615000,1778513290445830852,0,17471,1
10425,9177555933000,1778513290479122079,0,17325,1
10426,9177589252000,1778513290512575877,0,17663,1
10427,9177622570000,1778513290548315254,0,17513,1
10428,9177655889000,1778513290579411308,0,17784,1
10429,9177689207000,1778513290611605828,0,11778,1
10430,9177722526000,1778513290645716025,0,17321,1
10431,9177755844000,1778513290678954956,0,17041,1
10432,9177789163000,1778513290713380648,0,17509,1
10433,9177822481000,1778513290744966158,0,11828,1
10434,9177855799000,1778513290779282851,0,17601,1
10435,9177889119000,1778513290812698521,0,17467,1
10436,9177922437000,1778513290846029710,0,17366,1
10437,9177955755000,1778513290877974067,0,11762,1
10438,9177989074000,1778513290912341315,0,17385,1
10439,9178022392000,1778513290947290758,0,11733,1
10440,9178055711000,1778513290979084451,0,17348,1
10441,9178089029000,1778513291027269297,1,94113,5
10442,9178122348000,1778513291049162206,0,25411,2
10443,9178155663000,1778513291079485142,0,12815,1
10444,9178188986000,1778513291110375125,0,5847,1
10445,9178222303000,1778513291143942403,0,8413,1
10446,9178255622000,1778513291177289907,0,8247,1
10447,9178288940000,1778513291210451043,0,8101,1
10448,9178322258000,1778513291246097550,0,12209,1
10449,9178355577000,1778513291277887909,0,11910,1
10450,9178388895000,1778513291311198951,0,11769,1
10451,9178422214000,1778513291344570380,0,11738,1
10452,9178455533000,1778513291377760608,0,11829,1
10453,9178488851000,1778513291411175536,0,11841,1
10454,9178522169000,1778513291444525077,0,11938,1
10455,9178555487000,1778513291478681587,0,17769,1
10456,9178588806000,1778513291512049146,0,17676,1
10457,9178622125000,1778513291544526496,0,11678,1
10458,9178655443000,1778513291578570730,0,17372,1
10459,9178688762000,1778513291611866771,0,17405,1
10460,9178722080000,1778513291649266624,0,17011,1
10461,9178755398000,1778513291681436182,0,17105,1
10462,9178788717000,1778513291714659298,0,16871,1
10463,9178822036000,1778513291748252761,0,17043,1
10464,9178855353000,1778513291781614987,0,16992,1
10465,9178888673000,1778513291812137327,0,17014,1
10466,9178921990000,1778513291846947180,0,16991,1
10467,9178955310000,1778513291880899916,0,16986,1
10468,9178988628000,1778513291914528674,0,16577,1
10469,9179021946000,1778513291947572923,0,16553,1
10470,9179055265000,1778513291980917556,0,16662,1
10471,9179088583000,1778513292014211709,0,16542,1
10472,9179121902000,1778513292045935513,0,16659,1
10473,9179155220000,1778513292078608712,0,16591,1
10474,9179188539000,1778513292111533277,0,16755,1
10475,9179221857000,1778513292148673708,0,16782,1
10476,9179255176000,1778513292185366052,0,16875,1
10477,9179288494000,1778513292212007096,0,7557,1
10478,9179321811000,1778513292245815390,0,16801,1
10479,9179355132000,1778513292280346117,0,16862,1
10480,9179388449000,1778513292312103884,0,16806,1
10481,9179421769000,1778513292345358389,0,16964,1
10482,9179455086000,1778513292378299250,0,16699,1
10483,9179488405000,1778513292411654420,0,17119,1
10484,9179521723000,1778513292444958369,0,16898,1
10485,9179555042000,1778513292479704390,0,17130,1
10486,9179588360000,1778513292511839355,0,17020,1
10487,9179621679000,1778513292544940121,0,16860,1
10488,9179654997000,1778513292578364420,0,17055,1
10489,9179688316000,1778513292611747645,0,17021,1
10490,9179721635000,1778513292644930466,0,16933,1
10491,9179754953000,1778513292678207304,0,16955,1
10492,9179788271000,1778513292711441883,0,16994,1
10493,9179821590000,1778513292744838664,0,16915,1
10494,9179854907000,1778513292778281629,0,16916,1
10495,9179888226000,1778513292811322267,0,16717,1
10496,9179921545000,1778513292844734751,0,16995,1
10497,9179954864000,1778513292877005418,0,11238,1
10498,9179988182000,1778513292911311056,0,17042,1
10499,9180021501000,1778513292944597209,0,16879,1
10500,9180054820000,1778513292978071229,0,17190,1
10501,9180088139000,1778513293024850188,1,108500,6
10502,9180121456000,1778513293047587844,0,36475,2
10503,9180154773000,1778513293079511053,0,18642,1
10504,9180188093000,1778513293109881007,0,8329,1
10505,9180221412000,1778513293142371226,0,5886,1
