frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
10746,9188251169000,1778513301156908350,0,9386,1
10747,9188284483000,1778513301190989584,0,9052,1
10748,9188317806000,1778513301223978333,0,9130,1
10749,9188351126000,1778513301257044137,0,8743,1
10750,9188384440000,1778513301290983225,0,12876,1
10751,9188417761000,1778513301323472870,0,12562,1
10752,9188451079000,1778513301357664399,0,12671,1
10753,9188484398000,1778513301390645630,0,12563,1
10754,9188517722000,1778513301423868931,0,12361,1
10755,9188551033000,1778513301457756520,0,12522,1
10756,9188584351000,1778513301489948614,0,12475,1
10757,9188617675000,1778513301524637932,0,18532,1
10758,9188650993000,1778513301556587288,0,12552,1
10759,9188684305000,1778513301591077702,0,18678,1
10760,9188717622000,1778513301622031832,0,12593,1
10761,9188750940000,1778513301655983494,0,18409,1
10762,9188784258000,1778513301689394515,0,18445,1
10763,9188817577000,1778513301722552243,0,18338,1
10764,9188850895000,1778513301756326907,0,18328,1
10765,9188884214000,1778513301788916700,0,12645,1
10766,9188917532000,1778513301822612828,0,18266,1
10767,9188950850000,1778513301855846815,0,17961,1
10768,9188984168000,1778513301888508272,0,12070,1
10769,9189017487000,1778513301922536340,0,17741,1
10770,9189050806000,1778513301955821067,0,17588,1
10771,9189084124000,1778513301989110812,0,17467,1
10772,9189117443000,1778513302022454353,0,17705,1
10773,9189150762000,1778513302055892448,0,17737,1
10774,9189184080000,1778513302089042584,0,17831,1
10775,9189217399000,1778513302121774337,0,11982,1
10776,9189250716000,1778513302155670703,0,17729,1
10777,9189284034000,1778513302189101039,0,17886,1
10778,9189317354000,1778513302224395607,0,18005,1
10779,9189350672000,1778513302255651955,0,18059,1
10780,9189383990000,1778513302288393875,0,12433,1
10781,9189417311000,1778513302322364425,0,17803,1
10782,9189450628000,1778513302355717651,0,17963,1
10783,9189483946000,1778513302388900675,0,17951,1
10784,9189517264000,1778513302421540893,0,12311,1
10785,9189550583000,1778513302455490369,0,18059,1
10786,9189583903000,1778513302488807243,0,17912,1
10787,9189617220000,1778513302523661022,0,17655,1
10788,9189650539000,1778513302554942573,0,11851,1
10789,9189683857000,1778513302588800959,0,17542,1
10790,9189717176000,1778513302623816790,0,17058,1
10791,9189750493000,1778513302655413560,0,17727,1
10792,9189783812000,1778513302688758971,0,17275,1
10793,9189817130000,1778513302722310156,0,17804,1
10794,9189850450000,1778513302754767562,0,11802,1
10795,9189883769000,1778513302788640058,0,17375,1
10796,9189917086000,1778513302822006987,0,17317,1
10797,9189950405000,1778513302855320009,0,17386,1
10798,9189983723000,1778513302887894154,0,11534,1
10799,9190017042000,1778513302921808205,0,17152,1
10800,9190050362000,1778513302955118450,0,17068,1
10801,9190083679000,1778513302994018151,1,92554,5
10802,9190116997000,1778513303022847275,0,24918,2
10803,9190150318000,1778513303054807669,0,12515,1
10804,9190183635000,1778513303087453312,0,6133,1
10805,9190216953000,1778513303120838501,0,8235,1
10806,9190250271000,1778513303154076561,0,8340,1
10807,9190283589000,1778513303187615247,0,8348,1
10808,9190316909000,1778513303221403633,0,12352,1
10809,9190350227000,1778513303254436716,0,12280,1
10810,9190383545000,1778513303287861829,0,12320,1
10811,9190416864000,1778513303321170759,0,12154,1
10812,9190450183000,1778513303354467504,0,12063,1
10813,9190483501000,1778513303387842248,0,11918,1
10814,9190516819000,1778513303421043809,0,11887,1
10815,9190550137000,1778513303455299892,0,17483,1
10816,9190583457000,1778513303487729428,0,11313,1
10817,9190616775000,1778513303521644182,0,17289,1
10818,9190650093000,1778513303554970001,0,17223,1
10819,9190683412000,1778513303588257820,0,17269,1
10820,9190716730000,1778513303621575436,0,17539,1
10821,9190750048000,1778513303654989308,0,17298,1
10822,9190783368000,1778513303688187055,0,17388,1
10823,9190816685000,1778513303721489207,0,17430,1
10824,9190850005000,1778513303755505738,0,17268,1
10825,9190883324000,1778513303787654333,0,11812,1
10826,9190916641000,1778513303821435812,0,17480,1
