frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
2823,7336052532000,1778513037173403486,0,13213,1
2824,7336085849000,1778513037206004625,0,7098,1
2825,7336119165000,1778513037239695178,0,8956,1
2826,7336152494000,1778513037273018143,0,9252,1
2827,7336185806000,1778513037306107776,0,8850,1
2828,7336219122000,1778513037341250222,0,12001,1
2829,7336252440000,1778513037373107702,0,12958,1
2830,7336285759000,1778513037406309704,0,12290,1
2831,7336319077000,1778513037439792723,0,13314,1
2832,7336352397000,1778513037474864465,0,12705,1
2833,7336385714000,1778513037506427559,0,13074,1
2834,7336419033000,1778513037539740746,0,12897,1
2835,7336452351000,1778513037573050470,0,12018,1
2836,7336485673000,1778513037606914484,0,18909,1
2837,7336518988000,1778513037640133191,0,18157,1
2838,7336552306000,1778513037675908259,0,18933,1
2839,7336585627000,1778513037706397328,0,12479,1
2840,7336618949000,1778513037740106399,0,17847,1
2841,7336652263000,1778513037773508807,0,17842,1
2842,7336685581000,1778513037808389052,0,17071,1
2843,7336718899000,1778513037841021968,0,18074,1
2844,7336752218000,1778513037873282277,0,17300,1
2845,7336785536000,1778513037906683278,0,17997,1
2846,7336818855000,1778513037940067167,0,17274,1
2847,7336852175000,1778513037973185986,0,17030,1
2848,7336885492000,1778513038006656801,0,17519,1
2849,7336918811000,1778513038039110237,0,11167,1
2850,7336952129000,1778513038073152842,0,17723,1
2851,7336985448000,1778513038106541769,0,17276,1
2852,7337018765000,1778513038140830150,0,17730,1
2853,7337052083000,1778513038173532287,0,17583,1
2854,7337085404000,1778513038206570533,0,17282,1
2855,7337118721000,1778513038239936256,0,17383,1
2856,7337152041000,1778513038272844577,0,11356,1
2857,7337185363000,1778513038306841719,0,17888,1
2858,7337218678000,1778513038359865643,0,17040,1
2859,7337251996000,1778513038395034292,0,17854,1
2860,7337285315000,1778513038426147872,0,17384,1
2861,7337318635000,1778513038459717353,0,17133,1
2862,7337351952000,1778513038493893697,0,17589,1
2863,7337385272000,1778513038524677577,0,16641,1
2864,7337418590000,1778513038558293409,0,17704,1
2865,7337451909000,1778513038591562763,0,17089,1
2866,7337485233000,1778513038624491621,0,17383,1
2867,7337518546000,1778513038655501961,0,17324,1
2868,7337551864000,1778513038687644864,0,11430,1
2869,7337585181000,1778513038722838457,0,17540,1
2870,7337618508000,1778513038757517722,0,16759,1
2871,7337651821000,1778513038792624872,0,17632,1
2872,7337685138000,1778513038825122808,0,17238,1
2873,7337718457000,1778513038861153874,0,17263,1
2874,7337751776000,1778513038895088387,0,17499,1
2875,7337785094000,1778513038925644140,0,11347,1
2876,7337818413000,1778513038958023226,0,17391,1
2877,7337851730000,1778513038990829029,0,16719,1
2878,7337885048000,1778513039024273733,0,17667,1
2879,7337918368000,1778513039060192041,0,17087,1
2880,7337951686000,1778513039093536801,0,11580,1
2881,7337985005000,1778513039138033019,1,90255,5
2882,7338018323000,1778513039160579430,0,34605,2
2883,7338051641000,1778513039192048636,0,18821,1
2884,7338084961000,1778513039222463261,0,8199,1
2885,7338118278000,1778513039255618468,0,8290,1
2886,7338151597000,1778513039288885470,0,7986,1
2887,7338184916000,1778513039322149842,0,7973,1
2888,7338218233000,1778513039355672657,0,8552,1
2889,7338251556000,1778513039389017251,0,7820,1
2890,7338284871000,1778513039422898857,0,12123,1
2891,7338318189000,1778513039456173674,0,11685,1
2892,7338351507000,1778513039489666896,0,12185,1
2893,7338384825000,1778513039523468504,0,12023,1
2894,7338418146000,1778513039557906753,0,11783,1
2895,7338451464000,1778513039593052902,0,17690,1
2896,7338484782000,1778513039627077637,0,11769,1
2897,7338518100000,1778513039654391776,0,17959,1
2898,7338551423000,1778513039684553292,0,12078,1
2899,7338584735000,1778513039722147619,0,17937,1
2900,7338618056000,1778513039751626235,0,17706,1
2901,7338651373000,1778513039794337193,0,11984,1
2902,7338684698000,1778513039820345142,0,17827,1
2903,7338718017000,1778513039849488595,0,17674,1
2904,7338751337000,1778513039878522086,0,18122,1
2905,7338784651000,1778513039909286004,0,17581,1
2906,7338817974000,1778513039942569283,0,18065,1
2907,7338851294000,1778513039978679996,0,17922,1
2908,7338884604000,1778513040018451875,0,12061,1
2909,7338917936000,1778513040051581248,0,17769,1
2910,7338951243000,1778513040083689522,0,11971,1
2911,7338984581000,1778513040125417954,0,18004,1
2912,7339017884000,1778513040154190059,0,18006,1
2913,7339051213000,1778513040178105178,0,18118,1
2914,7339084529000,1778513040212034414,0,17785,1
2915,7339117841000,1778513040243830950,0,11819,1
2916,7339151163000,1778513040276963231,0,17802,1
2917,7339184476000,1778513040316410872,0,17361,1
2918,7339217793000,1778513040354432546,0,17852,1
2919,7339251110000,1778513040387837658,0,12150,1
2920,7339284427000,1778513040412238420,0,17726,1
2921,7339317756000,1778513040447856638,0,17951,1
2922,7339351099000,1778513040485681704,0,12120,1
2923,7339384387000,1778513040509104809,0,17925,1
2924,7339417719000,1778513040548868817,0,17759,1
2925,7339451026000,1778513040579817677,0,18079,1
2926,7339484364000,1778513040615157935,0,17971,1
2927,7339517662000,1778513040652871779,0,12230,1
2928,7339550979000,1778513040675858427,0,17766,1
2929,7339584313000,1778513040709388333,0,12033,1
2930,7339617621000,1778513040742367265,0,18241,1
2931,7339650983000,1778513040775364732,0,17905,1
2932,7339684252000,1778513040811009043,0,18142,1
2933,7339717565000,1778513040840153848,0,12255,1
2934,7339750888000,1778513040874382414,0,17372,1
2935,7339784205000,1778513040909245714,0,18032,1
2936,7339817539000,1778513040940578218,0,12122,1
2937,7339850840000,1778513040981320160,0,18174,1
2938,7339884159000,1778513041006925558,0,12009,1
2939,7339917492000,1778513041046520975,0,17719,1
2940,7339950797000,1778513041072747384,0,12361,1
2941,7339984114000,1778513041111637975,1,92203,5
2942,7340017434000,1778513041147355304,0,36375,2
