frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
7025,7476056757000,1778513177178838123,0,8871,1
7026,7476090074000,1778513177211724851,0,8643,1
7027,7476123398000,1778513177248124450,0,12350,1
7028,7476156715000,1778513177277404401,0,12180,1
7029,7476190032000,1778513177310923179,0,12317,1
7030,7476223351000,1778513177345404724,0,12186,1
7031,7476256670000,1778513177377581756,0,12259,1
7032,7476289987000,1778513177410858887,0,12199,1
7033,7476323306000,1778513177444104964,0,12292,1
7034,7476356622000,1778513177479687534,0,17782,1
7035,7476389943000,1778513177511248591,0,17981,1
7036,7476423259000,1778513177543981895,0,12405,1
7037,7476456578000,1778513177577870743,0,17832,1
7038,7476489897000,1778513177611341039,0,17803,1
7039,7476523216000,1778513177644545746,0,17674,1
7040,7476556535000,1778513177678470611,0,17786,1
7041,7476589853000,1778513177710400979,0,12137,1
7042,7476623169000,1778513177746539655,0,17779,1
7043,7476656490000,1778513177777448497,0,17587,1
7044,7476689808000,1778513177810875275,0,17622,1
7045,7476723128000,1778513177845113211,0,17569,1
7046,7476756445000,1778513177878517490,0,17713,1
7047,7476789763000,1778513177911876176,0,11964,1
7048,7476823095000,1778513177946718069,0,17741,1
7049,7476856402000,1778513177978627234,0,17818,1
7050,7476889719000,1778513178015349755,0,17767,1
7051,7476923043000,1778513178048511388,0,17994,1
7052,7476956372000,1778513178081378931,0,11960,1
7053,7476989679000,1778513178114217086,0,17466,1
7054,7477023004000,1778513178148331690,0,17611,1
7055,7477056320000,1778513178181628859,0,17659,1
7056,7477089643000,1778513178215641353,0,17385,1
7057,7477122953000,1778513178255299492,0,17321,1
7058,7477156269000,1778513178286315425,0,11816,1
7059,7477189604000,1778513178319914387,0,17254,1
7060,7477222914000,1778513178350015200,0,17050,1
7061,7477256232000,1778513178379551834,0,17308,1
7062,7477289543000,1778513178412540468,0,17370,1
7063,7477322861000,1778513178445354290,0,17391,1
7064,7477356188000,1778513178477663006,0,17385,1
7065,7477389497000,1778513178511125414,0,17216,1
7066,7477422817000,1778513178543949994,0,17277,1
7067,7477456132000,1778513178580831088,0,11657,1
7068,7477489450000,1778513178612177907,0,17046,1
7069,7477522768000,1778513178644022591,0,17197,1
7070,7477556088000,1778513178677585830,0,17358,1
7071,7477589406000,1778513178711879377,0,17284,1
7072,7477622727000,1778513178744291055,0,11767,1
7073,7477656045000,1778513178777206246,0,17175,1
7074,7477689377000,1778513178812584226,0,17175,1
7075,7477722680000,1778513178843776472,0,17392,1
7076,7477755997000,1778513178876719959,0,11767,1
7077,7477789317000,1778513178910486215,0,17124,1
7078,7477822637000,1778513178943689885,0,17179,1
7079,7477855953000,1778513178978785090,0,11768,1
7080,7477889287000,1778513179013384041,0,11795,1
7081,7477922595000,1778513179050601057,1,92489,5
7082,7477955912000,1778513179079915434,0,35871,2
7083,7477989231000,1778513179114556996,0,18620,1
7084,7478022546000,1778513179143781819,0,8461,1
7085,7478055873000,1778513179176017757,0,6089,1
7086,7478089184000,1778513179209977919,0,8537,1
7087,7478122505000,1778513179242942054,0,8372,1
7088,7478155822000,1778513179276108168,0,8138,1
7089,7478189140000,1778513179309468355,0,8393,1
7090,7478222457000,1778513179344087287,0,11889,1
7091,7478255779000,1778513179376791202,0,11871,1
7092,7478289093000,1778513179412087942,0,11898,1
7093,7478322415000,1778513179444058606,0,12125,1
7094,7478355741000,1778513179476388044,0,11980,1
7095,7478389051000,1778513179509451567,0,11717,1
7096,7478422369000,1778513179543283471,0,17416,1
7097,7478455688000,1778513179576687897,0,17415,1
7098,7478489006000,1778513179609779531,0,11879,1
7099,7478522325000,1778513179643664378,0,17507,1
7100,7478555646000,1778513179677099249,0,17194,1
7101,7478588965000,1778513179710331381,0,17445,1
7102,7478622281000,1778513179744210618,0,17383,1
7103,7478655599000,1778513179779635060,0,17400,1
7104,7478688922000,1778513179814357529,0,17610,1
7105,7478722238000,1778513179844697765,0,17595,1
7106,7478755558000,1778513179877240905,0,17280,1
7107,7478788872000,1778513179910374075,0,17428,1
7108,7478822192000,1778513179942983362,0,11760,1
7109,7478855510000,1778513179976923523,0,17309,1
7110,7478888830000,1778513180010124397,0,17427,1
7111,7478922146000,1778513180043550471,0,17335,1
7112,7478955464000,1778513181191524218,0,17609,1
7113,7478988783000,1778513181191889418,0,17583,1
7114,7479022102000,1778513181192185507,0,12017,1
7115,7479055420000,1778513181192421135,0,17285,1
7116,7479088741000,1778513181192666632,0,17563,1
7117,7479122057000,1778513181192898426,0,17248,1
7118,7479155377000,1778513181193151016,0,17263,1
7119,7479188694000,1778513181193371069,0,17349,1
7120,7479222013000,1778513181194935127,0,17379,1
7121,7479255330000,1778513181195529732,0,17487,1
7122,7479288650000,1778513181195789636,0,11809,1
7123,7479321968000,1778513181196121299,0,17794,1
7124,7479355288000,1778513181196325297,0,17506,1
7125,7479388604000,1778513181196523758,0,17913,1
7126,7479421923000,1778513181196854366,0,12443,1
7127,7479455241000,1778513181201750018,0,17872,1
7128,7479488559000,1778513181203543258,0,17942,1
7129,7479521877000,1778513181204410046,0,12320,1
