frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
8527,7576045506000,1778513277165695686,0,9370,1
8528,7576078823000,1778513277199422183,0,13133,1
8529,7576112144000,1778513277232897350,0,13203,1
8530,7576145462000,1778513277265948113,0,13138,1
8531,7576178779000,1778513277299266689,0,12604,1
8532,7576212098000,1778513277332739337,0,12920,1
8533,7576245419000,1778513277366040709,0,12570,1
8534,7576278733000,1778513277399354766,0,12812,1
8535,7576312054000,1778513277433546833,0,12825,1
8536,7576345372000,1778513277465779790,0,12616,1
8537,7576378689000,1778513277500608313,0,18303,1
8538,7576412012000,1778513277535158561,0,18426,1
8539,7576445327000,1778513277566544064,0,19064,1
8540,7576478661000,1778513277599300109,0,13321,1
8541,7576511964000,1778513277632551204,0,13436,1
8542,7576545282000,1778513277666483032,0,18901,1
8543,7576578601000,1778513277699186355,0,13180,1
8544,7576611919000,1778513277733286145,0,18998,1
8545,7576645238000,1778513277765705674,0,12798,1
8546,7576678556000,1778513277799895334,0,19023,1
8547,7576711874000,1778513277835167092,0,18602,1
8548,7576745195000,1778513277866378375,0,18854,1
8549,7576778512000,1778513277898999495,0,12740,1
8550,7576811829000,1778513277933006138,0,18818,1
8551,7576845149000,1778513277966266159,0,18827,1
8552,7576878468000,1778513277999054629,0,12683,1
8553,7576911787000,1778513278034301647,0,18910,1
8554,7576945104000,1778513278065637096,0,13204,1
8555,7576978422000,1778513278100749097,0,19399,1
8556,7577011743000,1778513278132272599,0,13421,1
8557,7577045059000,1778513278166216723,0,19269,1
8558,7577078376000,1778513278199720982,0,19384,1
8559,7577111695000,1778513278232368824,0,13461,1
8560,7577145014000,1778513278266238876,0,19549,1
8561,7577178333000,1778513278298878884,0,13454,1
8562,7577211651000,1778513278332919471,0,18757,1
8563,7577244972000,1778513278365549646,0,12998,1
8564,7577278287000,1778513278399557437,0,18647,1
8565,7577311606000,1778513278432818273,0,18675,1
8566,7577344927000,1778513278465448281,0,12468,1
8567,7577378243000,1778513278499547016,0,18819,1
8568,7577411565000,1778513278533295346,0,12974,1
8569,7577444882000,1778513278566035280,0,18655,1
8570,7577478198000,1778513278599680667,0,18780,1
8571,7577511523000,1778513278632043604,0,12850,1
8572,7577544836000,1778513278665982377,0,18653,1
8573,7577578156000,1778513278698687107,0,12829,1
8574,7577611474000,1778513278732573714,0,18575,1
8575,7577644791000,1778513278765860309,0,18389,1
8576,7577678109000,1778513278799257939,0,19087,1
8577,7577711428000,1778513278831975040,0,13206,1
8578,7577744747000,1778513278865302856,0,12901,1
8579,7577778065000,1778513278899189833,0,19281,1
8580,7577811384000,1778513278931958970,0,13503,1
8581,7577844701000,1778513278970078366,1,80327,4
8582,7577878020000,1778513279000238067,0,26628,2
8583,7577911342000,1778513279032178842,0,14501,1
8584,7577944658000,1778513279066418131,0,9794,1
8585,7577977977000,1778513279098665236,0,9364,1
8586,7578011297000,1778513279131828110,0,9619,1
8587,7578044615000,1778513279166843353,0,9230,1
8588,7578077931000,1778513279198155838,0,9262,1
8589,7578111249000,1778513279232003279,0,13508,1
8590,7578144569000,1778513279265206208,0,13273,1
8591,7578177886000,1778513279298476599,0,13574,1
8592,7578211204000,1778513279331853266,0,13115,1
8593,7578244529000,1778513279365999685,0,13264,1
8594,7578277845000,1778513279398560861,0,13226,1
8595,7578311160000,1778513279431823382,0,13164,1
8596,7578344483000,1778513279465000867,0,13128,1
8597,7578377798000,1778513279498574847,0,13105,1
8598,7578411120000,1778513279532286326,0,19100,1
8599,7578444435000,1778513279565802196,0,13046,1
8600,7578477754000,1778513279599161456,0,19028,1
8601,7578511076000,1778513279632491069,0,18781,1
8602,7578544395000,1778513279665083967,0,13105,1
8603,7578577711000,1778513279698805316,0,18926,1
8604,7578611026000,1778513279731611805,0,12944,1
8605,7578644345000,1778513279765494152,0,18999,1
8606,7578677663000,1778513279798927727,0,18677,1
8607,7578710981000,1778513279832145877,0,18620,1
8608,7578744302000,1778513279864866663,0,12840,1
8609,7578777623000,1778513279898722770,0,18442,1
8610,7578810938000,1778513279932101716,0,18713,1
8611,7578844257000,1778513279964725595,0,12971,1
8612,7578877575000,1778513279998836866,0,19288,1
8613,7578910895000,1778513280031460486,0,13116,1
8614,7578944212000,1778513280065585072,0,19270,1
8615,7578977530000,1778513280098173562,0,13503,1
8616,7579010852000,1778513280132132353,0,18997,1
8617,7579044174000,1778513280166367012,0,19366,1
8618,7579077486000,1778513280198218029,0,13143,1
8619,7579110804000,1778513280232101025,0,19244,1
8620,7579144124000,1778513280264645572,0,13150,1
8621,7579177441000,1778513280298672806,0,19185,1
8622,7579210759000,1778513280331406296,0,13158,1
8623,7579244082000,1778513280365227218,0,18805,1
8624,7579277396000,1778513280398778273,0,18954,1
8625,7579310718000,1778513280431357912,0,12885,1
8626,7579344037000,1778513280465093224,0,18721,1
8627,7579377353000,1778513280498124358,0,13042,1
8628,7579410674000,1778513280531998817,0,19007,1
8629,7579443991000,1778513280565696333,0,19018,1
8630,7579477314000,1778513280598796281,0,13185,1
8631,7579510628000,1778513280631836156,0,19056,1
8632,7579543945000,1778513280664502072,0,13099,1
8633,7579577264000,1778513280700361862,0,18964,1
8634,7579610582000,1778513280731190389,0,13285,1
8635,7579643900000,1778513280765020867,0,19343,1
8636,7579677218000,1778513280797789282,0,13420,1
8637,7579710538000,1778513280831784350,0,19372,1
8638,7579743856000,1778513280864702078,0,14339,1
8639,7579777175000,1778513280897950451,0,13577,1
8640,7579810492000,1778513280931683430,0,19555,1
8641,7579843812000,1778513280969515717,1,79853,4
8642,7579877129000,1778513281001378160,0,26659,2
8643,7579910450000,1778513281031294012,0,14582,1
8644,7579943767000,1778513281063898559,0,7298,1
8645,7579977085000,1778513281097308874,0,10094,1
8646,7580010405000,1778513281130583524,0,9951,1
