EventSensor_ns,RowType,Source_Index,Source_SensorTimestamp_ns,Sink_Index,Sink_SensorTimestamp_ns,Sink_SensorTimestamp_Corrected_ns,TimeDifference_ns,TimeDifference_ms
7248558243000,MATCHED,196,7248558243000,196,8836774619000,7248558240000,3000,0.003000
7248591561000,MATCHED,197,7248591561000,197,8836807937000,7248591558000,3000,0.003000
7248624880000,MATCHED,198,7248624880000,198,8836841256000,7248624877000,3000,0.003000
7248658203000,MATCHED,199,7248658203000,199,8836874574000,7248658195000,8000,0.008000
7248691516000,MATCHED,200,7248691516000,200,8836907893000,7248691514000,2000,0.002000
7248724835000,MATCHED,201,7248724835000,201,8836941211000,7248724832000,3000,0.003000
7248758155000,MATCHED,202,7248758155000,202,8836974530000,7248758151000,4000,0.004000
7248791473000,MATCHED,203,7248791473000,203,8837007849000,7248791470000,3000,0.003000
7248824791000,MATCHED,204,7248824791000,204,8837041167000,7248824788000,3000,0.003000
7248858111000,MATCHED,205,7248858111000,205,8837074485000,7248858106000,5000,0.005000
7248891427000,MATCHED,206,7248891427000,206,8837107804000,7248891425000,2000,0.002000
7248924747000,MATCHED,207,7248924747000,207,8837141122000,7248924743000,4000,0.004000
7248958063000,MATCHED,208,7248958063000,208,8837174441000,7248958062000,1000,0.001000
7248991382000,MATCHED,209,7248991382000,209,8837207759000,7248991380000,2000,0.002000
7249024702000,MATCHED,210,7249024702000,210,8837241078000,7249024699000,3000,0.003000
7249058019000,MATCHED,211,7249058019000,211,8837274396000,7249058017000,2000,0.002000
7249091338000,MATCHED,212,7249091338000,212,8837307715000,7249091336000,2000,0.002000
7249124655000,MATCHED,213,7249124655000,213,8837341032000,7249124653000,2000,0.002000
7249157974000,MATCHED,214,7249157974000,214,8837374352000,7249157973000,1000,0.001000
7249191301000,MATCHED,215,7249191301000,215,8837407669000,7249191290000,11000,0.011000
7249224613000,MATCHED,216,7249224613000,216,8837440989000,7249224610000,3000,0.003000
7249257932000,MATCHED,217,7249257932000,217,8837474306000,7249257927000,5000,0.005000
7249291251000,MATCHED,218,7249291251000,218,8837507625000,7249291246000,5000,0.005000
7249324568000,MATCHED,219,7249324568000,219,8837540944000,7249324565000,3000,0.003000
7249357887000,MATCHED,220,7249357887000,220,8837574263000,7249357884000,3000,0.003000
7249391204000,MATCHED,221,7249391204000,221,8837607580000,7249391201000,3000,0.003000
7249424523000,MATCHED,222,7249424523000,222,8837640899000,7249424520000,3000,0.003000
7249457842000,MATCHED,223,7249457842000,223,8837674218000,7249457839000,3000,0.003000
7249491160000,MATCHED,224,7249491160000,224,8837707535000,7249491156000,4000,0.004000
