frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
13746,9418938793000,1778513400557703812,0,14467,1
13747,9418972114000,1778513400590642699,0,14595,1
13748,9419005436000,1778513400625745009,0,18513,1
13749,9419038757000,1778513400658234252,0,18438,1
13750,9419072078000,1778513400691585301,0,26503,2
13751,9419105401000,1778513400725007183,0,25821,2
13752,9419138722000,1778513400758408306,0,25299,2
13753,9419172043000,1778513400791733411,0,25725,2
13754,9419205366000,1778513400824067359,0,25032,2
13755,9419238689000,1778513400857350595,0,24607,2
13756,9419272010000,1778513400890634552,0,30884,2
13757,9419305329000,1778513400925859102,0,30221,2
13758,9419338650000,1778513400958586824,0,30847,2
13759,9419371973000,1778513400991949595,0,30158,2
13760,9419405293000,1778513401023099573,0,29361,2
13761,9419438616000,1778513401056183680,0,29632,2
13762,9419471936000,1778513401089531008,0,29680,2
13763,9419505256000,1778513401117097502,0,29675,2
13764,9419538579000,1778513401158988820,0,29540,2
13765,9419571900000,1778513401191210492,0,28952,2
13766,9419605223000,1778513401225218072,0,29556,2
13767,9419638544000,1778513401256270125,0,38526,2
13768,9419671864000,1778513401289197252,0,28683,2
13769,9419705186000,1778513401318705542,0,38571,2
13770,9419738506000,1778513401359911497,0,28441,2
13771,9419771828000,1778513401390697201,0,37847,2
13772,9419805148000,1778513401427457718,0,29139,2
13773,9419838469000,1778513401458503048,0,28523,2
13774,9419871791000,1778513401491419361,0,38377,2
13775,9419905113000,1778513401526819187,0,28933,2
13776,9419938434000,1778513401557807833,0,37965,2
13777,9419971755000,1778513401590780534,0,38222,2
13778,9420005081000,1778513401624092695,0,28064,2
13779,9420038401000,1778513401657580595,0,37159,2
13780,9420071719000,1778513401690604814,0,37539,2
13781,9420105041000,1778513401724118769,0,27992,2
13782,9420138363000,1778513401760091867,0,37587,2
13783,9420171686000,1778513401790648425,0,36668,2
13784,9420205005000,1778513401824016937,0,36567,2
13785,9420238328000,1778513401858150201,0,29145,2
13786,9420271648000,1778513401890858942,0,28631,2
13787,9420304970000,1778513401924014604,0,42622,3
13788,9420338291000,1778513401957263969,0,29502,2
13789,9420371613000,1778513401990558667,0,28532,2
13790,9420404934000,1778513402023912309,0,38416,2
13791,9420438259000,1778513402057186322,0,28811,2
13792,9420471577000,1778513402090396743,0,37736,2
13793,9420504899000,1778513402123767089,0,37495,2
13794,9420538220000,1778513402158330904,0,28080,2
13795,9420571542000,1778513402190415688,0,37501,2
13796,9420604863000,1778513402223803570,0,28547,2
13797,9420638184000,1778513402257134805,0,36779,2
13798,9420671506000,1778513402290401429,0,37053,2
13799,9420704827000,1778513402323619850,0,27873,2
13800,9420738149000,1778513402357730059,0,37338,2
13801,9420771471000,1778513402405943113,1,193469,10
13802,9420804792000,1778513402427248371,0,53042,3
13803,9420838115000,1778513402458079185,0,29496,2
13804,9420871437000,1778513402490302005,0,16003,1
13805,9420904757000,1778513402515672501,0,13317,1
13806,9420938078000,1778513402557058066,0,17012,1
13807,9420971400000,1778513402583124093,0,16828,1
13808,9421004724000,1778513402623617999,0,17113,1
13809,9421038042000,1778513402656868772,0,25598,2
13810,9421071364000,1778513402690229377,0,24381,2
13811,9421104685000,1778513402724186364,0,24637,2
13812,9421138007000,1778513402757579450,0,24299,2
13813,9421171329000,1778513402790943370,0,23763,2
13814,9421204651000,1778513402823513575,0,30145,2
13815,9421237974000,1778513402856665997,0,29380,2
13816,9421271292000,1778513402889973120,0,29499,2
13817,9421304614000,1778513402923347595,0,29462,2
13818,9421337937000,1778513402956605442,0,28762,2
13819,9421371257000,1778513402991633345,0,29196,2
13820,9421404579000,1778513403023283393,0,28702,2
13821,9421437899000,1778513403056666738,0,28305,2
13822,9421471221000,1778513403090894371,0,28786,2
13823,9421504543000,1778513403123315170,0,28346,2
13824,9421537865000,1778513403156527962,0,29238,2
13825,9421571186000,1778513403189988788,0,29319,2
13826,9421604508000,1778513403223217301,0,28573,2
13827,9421637831000,1778513403256521944,0,38232,2
13828,9421671150000,1778513403290011955,0,38148,2
13829,9421704472000,1778513403323050618,0,28317,2
13830,9421737793000,1778513403356553833,0,37685,2
13831,9421771115000,1778513403391002482,0,27896,2
13832,9421804436000,1778513403423151691,0,37403,2
13833,9421837757000,1778513403456426593,0,28360,2
13834,9421871079000,1778513403489871957,0,36978,2
13835,9421904401000,1778513403522970990,0,37117,2
13836,9421937722000,1778513403556646425,0,27969,2
13837,9421971044000,1778513403589948660,0,36671,2
13838,9422004367000,1778513403623083822,0,36506,2
13839,9422037688000,1778513403656375613,0,27706,2
13840,9422071008000,1778513403689744884,0,36942,2
13841,9422104329000,1778513403723929963,0,36609,2
13842,9422137651000,1778513403756909905,0,27523,2
13843,9422170972000,1778513403789777588,0,37710,2
13844,9422204294000,1778513403817679579,0,28256,2
13845,9422237617000,1778513403856609204,0,37265,2
13846,9422270937000,1778513403889856347,0,29105,2
13847,9422304258000,1778513403923092434,0,29169,2
13848,9422337579000,1778513403956438076,0,38633,2
13849,9422370902000,1778513403989934606,0,29422,2
13850,9422404222000,1778513404023111212,0,29071,2
13851,9422437545000,1778513404056621371,0,38759,2
13852,9422470865000,1778513404089654183,0,29160,2
13853,9422504187000,1778513404123099139,0,38114,2
13854,9422537508000,1778513404156421188,0,28841,2
13855,9422570830000,1778513404189734571,0,37838,2
13856,9422604151000,1778513404224526588,0,29410,2
13857,9422637472000,1778513404256483447,0,38517,2
13858,9422670794000,1778513404289695202,0,29197,2
13859,9422704115000,1778513404323659782,0,39298,2
13860,9422737437000,1778513404356315190,0,29431,2
13861,9422770758000,1778513404405695603,1,195901,10
13862,9422804081000,1778513404428341960,0,58040,3
13863,9422837404000,1778513404460311911,0,31785,2
13864,9422870726000,1778513404491701905,0,18180,1
13865,9422904048000,1778513404525543394,0,15346,1
