frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
8464,9242934840000,1778513224554131411,0,17367,1
8465,9242968161000,1778513224586967018,0,13338,1
8466,9243001481000,1778513224620043882,0,18753,1
8467,9243034802000,1778513224654588416,0,18693,1
8468,9243068123000,1778513224687645187,0,22775,2
8469,9243101444000,1778513224720984363,0,21940,2
8470,9243134765000,1778513224754550963,0,21327,2
8471,9243168089000,1778513224787617308,0,33371,2
8472,9243201409000,1778513224821045706,0,21296,2
8473,9243234733000,1778513224857689831,0,30867,2
8474,9243268052000,1778513224887130434,0,29720,2
8475,9243301374000,1778513224920153205,0,29028,2
8476,9243334696000,1778513224953526955,0,28986,2
8477,9243368016000,1778513224986625522,0,29108,2
8478,9243401337000,1778513225019984790,0,29355,2
8479,9243434658000,1778513225053337337,0,29588,2
8480,9243467980000,1778513225086652291,0,28712,2
8481,9243501301000,1778513225120050688,0,28528,2
8482,9243534622000,1778513225153331883,0,28831,2
8483,9243567947000,1778513225186664207,0,28782,2
8484,9243601265000,1778513225219917032,0,29485,2
8485,9243634587000,1778513225254274050,0,28931,2
8486,9243667908000,1778513225286596440,0,34442,2
8487,9243701233000,1778513225320230261,0,34256,2
8488,9243734551000,1778513225353508956,0,33812,2
8489,9243767874000,1778513225386603042,0,34975,2
8490,9243801194000,1778513225421195946,0,33946,2
8491,9243834516000,1778513225453409559,0,33208,2
8492,9243867838000,1778513225486599903,0,33690,2
8493,9243901161000,1778513225520004356,0,34042,2
8494,9243934480000,1778513225553315199,0,34881,2
8495,9243967801000,1778513225586556746,0,35131,2
8496,9244001123000,1778513225619962310,0,33474,2
8497,9244034445000,1778513225653878610,0,33947,2
8498,9244067768000,1778513225686604792,0,34484,2
8499,9244101091000,1778513225719737952,0,35123,2
8500,9244134409000,1778513225753310403,0,34979,2
8501,9244167732000,1778513225786558765,0,27807,2
8502,9244201052000,1778513225820018662,0,34401,2
8503,9244234377000,1778513225853152340,0,34879,2
8504,9244267695000,1778513225886304944,0,34681,2
8505,9244301016000,1778513225919803359,0,35000,2
8506,9244334337000,1778513225953111906,0,28103,2
8507,9244367659000,1778513225986448341,0,34124,2
8508,9244400980000,1778513226019807257,0,34232,2
8509,9244434302000,1778513226053195618,0,34645,2
8510,9244467624000,1778513226088411331,0,35058,2
8511,9244500947000,1778513226119731434,0,28224,2
8512,9244534266000,1778513226153011407,0,33923,2
8513,9244567592000,1778513226186432990,0,34786,2
8514,9244600910000,1778513226219615482,0,34949,2
8515,9244634230000,1778513226253051601,0,28416,2
8516,9244667553000,1778513226286378296,0,35140,2
8517,9244700874000,1778513226319829749,0,27731,2
8518,9244734195000,1778513226353034129,0,34599,2
8519,9244767517000,1778513226386227862,0,34581,2
8520,9244800838000,1778513226419592168,0,27731,2
8521,9244834160000,1778513226467008559,1,181410,9
8522,9244867481000,1778513226488970401,0,47784,3
8523,9244900804000,1778513226520133302,0,28459,2
8524,9244934124000,1778513226552882280,0,16465,1
8525,9244967447000,1778513226586452157,0,16311,1
8526,9245000767000,1778513226619425670,0,16540,1
8527,9245034088000,1778513226652717198,0,20038,1
8528,9245067409000,1778513226689421064,0,19575,1
8529,9245100731000,1778513226720639001,0,28924,2
8530,9245134053000,1778513226753842715,0,28444,2
8531,9245167376000,1778513226788994003,0,27373,2
8532,9245200696000,1778513226819737556,0,27574,2
8533,9245234017000,1778513226853069362,0,26586,2
8534,9245267338000,1778513226886471019,0,26503,2
