frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
14106,9430934516000,1778513412553764038,0,15389,1
14107,9430967837000,1778513412586643647,0,15565,1
14108,9431001160000,1778513412619832883,0,18380,1
14109,9431034480000,1778513412653342746,0,18980,1
14110,9431067802000,1778513412686740869,0,27900,2
14111,9431101123000,1778513412719967215,0,26567,2
14112,9431134444000,1778513412754601678,0,26513,2
14113,9431167767000,1778513412786654944,0,25706,2
14114,9431201088000,1778513412818511841,0,25746,2
14115,9431234409000,1778513412845458878,0,26029,2
14116,9431267730000,1778513412885242458,0,25503,2
14117,9431301051000,1778513412920133307,0,26083,2
14118,9431334373000,1778513412953275636,0,25195,2
14119,9431367694000,1778513412986559927,0,31011,2
14120,9431401017000,1778513413018516082,0,31238,2
14121,9431434337000,1778513413051884650,0,31064,2
14122,9431467658000,1778513413085218273,0,31275,2
14123,9431500980000,1778513413118442842,0,30368,2
14124,9431534301000,1778513413154406811,0,30004,2
14125,9431567623000,1778513413185330236,0,30858,2
14126,9431600945000,1778513413218443695,0,31022,2
14127,9431634266000,1778513413251703486,0,31108,2
14128,9431667587000,1778513413285038239,0,30927,2
14129,9431700909000,1778513413318331881,0,30259,2
14130,9431734230000,1778513413351728597,0,40491,2
14131,9431767552000,1778513413385108109,0,30226,2
14132,9431800873000,1778513413418287604,0,30503,2
14133,9431834195000,1778513413451658838,0,30469,2
14134,9431867516000,1778513413485414717,0,30051,2
14135,9431900838000,1778513413518291790,0,39337,2
14136,9431934159000,1778513413551633765,0,29482,2
14137,9431967481000,1778513413578347008,0,30099,2
14138,9432000802000,1778513413622404121,0,39827,2
14139,9432034124000,1778513413653007271,0,29741,2
14140,9432067445000,1778513413686343561,0,38817,2
14141,9432100767000,1778513413719777535,0,29626,2
14142,9432134088000,1778513413752840439,0,29756,2
14143,9432167409000,1778513413786514615,0,39506,2
14144,9432200731000,1778513413819606537,0,29418,2
14145,9432234060000,1778513413852761237,0,30353,2
14146,9432267375000,1778513413886178748,0,40098,2
14147,9432300695000,1778513413919462687,0,29840,2
14148,9432334017000,1778513413952735145,0,30776,2
14149,9432367338000,1778513413988440190,0,31191,2
14150,9432400660000,1778513414019492317,0,30865,2
14151,9432433982000,1778513414052926217,0,40301,2
14152,9432467302000,1778513414087415552,0,30735,2
14153,9432500624000,1778513414119397596,0,30627,2
14154,9432533946000,1778513414152696294,0,40337,2
14155,9432567267000,1778513414185955566,0,29732,2
